Course Name,Course Provider,Course Description,# of Students Enrolled,# of Ratings
Introduction to Mathematical Thinking,Stanford University,Offered by Stanford University. Learn how to think the way mathematicians do – a powerful cognitive process developed over thousands of ,"415,585",608
Álgebra básica,Universidad Nacional Autónoma de México,"Offered by Universidad Nacional Autónoma de México. Galileo dijo: ""El Universo está escrito en lenguaje matemático y los caracteres son ","251,500",1300
"Everyday Excel, Part 1",University of Colorado Boulder,"Offered by University of Colorado Boulder. ""Everyday Excel, Part 1"" is aimed at learners who are seeking to learn Excel from the ground up.  ","201,547",926
Mathematics for Engineers,The Hong Kong University of Science and Technology,"Offered by The Hong Kong University of Science and Technology. Learn the Mathematics needed to become an Engineer. Study  matrix algebra, ","4,659",247
Mathematics for Machine Learning,Imperial College London,Offered by Imperial College London.  Mathematics for Machine Learning. Learn about the prerequisite mathematics for applications in data ,"162,072","11,653"
Cryptography I,Stanford University,Offered by Stanford University. Cryptography is an indispensable tool for protecting information in computer systems. In this course you ,"396,428",841
Cryptography I,Stanford University,Offered by Stanford University. Cryptography is an indispensable tool for protecting information in computer systems. In this course you ,"396,428",841
Mathematics for Machine Learning: Linear Algebra,Imperial College London,Offered by Imperial College London. In this course on Linear Algebra we look at what linear algebra is and how it relates to vectors and ,"306,099",2226
Introduction to Mathematical Thinking,Stanford University,Offered by Stanford University. Learn how to think the way mathematicians do – a powerful cognitive process developed over thousands of ,"415,585",608
Advanced Statistics for Data Science,Johns Hopkins University,"Offered by Johns Hopkins University. Familiarize yourself with fundamental concepts in probability and statistics, data analysis and linear ","15,805",187
How Things Work: An Introduction to Physics,University of Virginia,Offered by University of Virginia. An introduction to physics in the context of everyday objects. Enroll for free.,"237,966",814
Mathematics for Machine Learning: Linear Algebra,Imperial College London,Offered by Imperial College London. In this course on Linear Algebra we look at what linear algebra is and how it relates to vectors and ,"306,099",2226
Java Programming and Software Engineering Fundamentals,Duke University,Offered by Duke University. Explore a Career as a Software Engineer. Learn the basics of programming and software development Enroll for free.,"273,561","13,538"
SQL for Data Science,"University of California, Davis","Offered by University of California, Davis. As data collection has increased exponentially, so has the need for people skilled at using and ","466,872",3678
Game Theory,Stanford University,"Popularized by movies such as ""A Beautiful Mind,"" game theory is the mathematical modeling of strategic interaction among rational (and ","424,137",861
Discrete Optimization,The University of Melbourne,Offered by The University of Melbourne. Tired of solving Sudokus by hand? This class teaches you how to solve complex search problems with ,"61,966",160
Advanced Statistics for Data Science,Johns Hopkins University,"Offered by Johns Hopkins University. Familiarize yourself with fundamental concepts in probability and statistics, data analysis and linear ","15,805",187
Data Science Math Skills,Duke University,Offered by Duke University. Data science courses contain math—no avoiding that! This course is designed to teach learners the basic math you ,"337,081",2409
Fibonacci Numbers and the Golden Ratio,The Hong Kong University of Science and Technology,"Offered by The Hong Kong University of Science and Technology. Learn the mathematics behind the Fibonacci numbers, the golden ratio, and how ","32,849",358
Analytic Combinatorics,Princeton University,Offered by Princeton University. Analytic Combinatorics teaches a calculus that enables precise quantitative predictions of large ,"20,677",12
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,"Offered by Stanford University. The primary topics in this part of the specialization are: asymptotic (""Big-oh"") notation, sorting and ","207,487",963
C for Everyone: Structured Programming,"University of California, Santa Cruz","Offered by University of California, Santa Cruz. In the new world we live in, coding is a universally valuable skill, whether you're a ","48,786",159
"Algorithms, Part I",Princeton University,Offered by Princeton University. This course covers the essential information that every serious programmer needs to know about algorithms ,"1,032,266",2030
Introduction to Complex Analysis,Wesleyan University,Offered by Wesleyan University. This course provides an introduction to complex analysis which is the theory of complex functions of a ,"61,215",327
The Data Scientist’s Toolbox,Johns Hopkins University,Offered by Johns Hopkins University. In this course you will get an introduction to the main tools and ideas in the data scientist's ,"699,859",7166
SQL for Data Science,"University of California, Davis","Offered by University of California, Davis. As data collection has increased exponentially, so has the need for people skilled at using and ","466,872",3678
"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming",Stanford University,"Offered by Stanford University. The primary topics in this part of the specialization are: greedy algorithms (scheduling, minimum spanning ","66,443",144
Data Science Math Skills,Duke University,Offered by Duke University. Data science courses contain math—no avoiding that! This course is designed to teach learners the basic math you ,"337,081",2409
Generative Adversarial Networks (GANs),DeepLearning.AI,Offered by DeepLearning.AI. Break into the GANs space. Master cutting-edge GANs techniques through three hands-on courses! Enroll for free.,"28,571","1,817"
Algebra: Elementary to Advanced - Equations & Inequalities,Johns Hopkins University,Offered by Johns Hopkins University. This course is intended for students looking to create a solid algebraic foundation of fundamental ,"17,259",70
Introduction to Discrete Mathematics for Computer Science,University of California San Diego,"Offered by University of California San Diego. Learn the language of Computer Science. Learn the math that defines computer science, and ","68,205","2,409"
Matrix Algebra for Engineers,The Hong Kong University of Science and Technology,"Offered by The Hong Kong University of Science and Technology. This course is all about matrices, and concisely covers the linear algebra ","68,821",910
Algorithmic Toolbox,University of California San Diego,Offered by University of California San Diego. This online course covers basic algorithmic techniques and ideas for computational problems ,"459,410",2557
