Course Name,Course Provider,Course Description,# of Students Enrolled,# of Ratings
Magíster en Ciencia de Datos,Pontificia Universidad Católica de Chile,,0,0.0
Master of Science in Machine Learning and Data Science,Imperial College London,,0,0.0
Data Analysis with R,Duke University,"Offered by Duke University. Master Data Analysis with R. Statistical mastery of data analysis including basic data visualization, ","9,185","5,548"
Marketing Analytics Foundation,Meta,Offered by Meta. This course lays the foundation of marketing analytics. You’ll learn the basic principles of marketing. You’ll learn the ,"36,209",266
Excel Skills for Data Analytics and Visualization,Macquarie University,"Offered by Macquarie University. Unleash the Power of Excel to Analyse Your Data. Import, visualize, and analyze huge and complex datasets ","46,305","2,105"
Practical Data Science on the AWS Cloud,DeepLearning.AI,Offered by DeepLearning.AI and Amazon Web Services. Become a cloud data science expert. Develop and scale your data science projects into ,"13,188",387
Introduction to R Programming for Data Science,IBM Skills Network,Offered by IBM Skills Network. When working in the data science field you will definitely become acquainted with the R language and the role ,"16,077",54
Deep Learning,DeepLearning.AI,Offered by DeepLearning.AI. Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated ,"720,366","127,306"
MS in Management: Digital Transformation in Healthcare,Northeastern University,,0,0.0
"Foundations: Data, Data, Everywhere",Google,Offered by Google. This is the first course in the Google Data Analytics Certificate. These courses will equip you with the skills you need ,"1,320,380",13827
Business Analytics,University of Pennsylvania,Offered by University of Pennsylvania. Make Data-Driven Business Decisions. Achieve fluency in business data strategies in four ,"151,026","15,426"
Applied Data Science with Python,University of Michigan,"Offered by University of Michigan. Gain new insights into your data  . Learn to apply data science methods and techniques, and acquire ","354,745","25,187"
IBM Data Science,IBM Skills Network,"Offered by IBM Skills Network. Kickstart your career in data science & ML. Build data science skills, learn Python & SQL, analyze & ","135,501","59,208"
Assess for Success: Marketing Analytics and Measurement,Google,Offered by Google. Assess for Success: Marketing Analytics and Measurement is the fifth of seven courses in the Google Digital Marketing & ,"24,892",87
Fundamentals of Visualization with Tableau,"University of California, Davis","Offered by University of California, Davis. In this first course of this specialization, you will discover what data visualization is, and ","176,902",1360
